parameter,algorithm,mean_makespan,std_makespan,seed_count,configured_density,measured_density
default,FLE,3.39710239431167,0.24124790365865545,2,,
default,RO,2.5198837079290612,0.7628984642353986,2,,
default,DDPG,1.6479888895813202,0.014268556161601609,2,,
default,DDPG+PER,1.0494814772390435,0.5848881361483228,2,,
default,DDPG+LD,1.6487321176953054,0.013525328047616525,2,,
default,PER-DDPG,1.6481797300235503,0.01381012989102326,2,,
default,DQN,1.755109201183973,0.7139621992586673,2,,
