parameter,algorithm,mean_makespan,std_makespan
default,FLE,4.83134847446414,0.785747800040333
default,RO,3.7008714183115874,2.391069726037652
default,PER-DDPG,2.788796197277415,0.24652609619315988
default,DDPG,2.1195073877074293,0.17847353703732138
default,DQN,1.9134594024811402,0.19234788232404215
