WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://127.0.0.1:5001/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Jul/2026 21:25:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzbz1Af HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:25:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzbz2eF HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:25:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzbz465 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:25:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzbz5Zs HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:25:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzbz71a HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:25:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzbz8VJ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:25:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzbz9z8 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:26:04] "GET /socket.io/?EIO=4&transport=polling&t=PzbzBQm HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:26:10] "GET /socket.io/?EIO=4&transport=polling&t=PzbzCuV HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:26:16] "GET /socket.io/?EIO=4&transport=polling&t=PzbzEMJ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:26:22] "GET /socket.io/?EIO=4&transport=polling&t=PzbzFq3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:26:28] "GET /socket.io/?EIO=4&transport=polling&t=PzbzHIt HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:26:34] "GET /socket.io/?EIO=4&transport=polling&t=PzbzIlZ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:26:40] "GET /socket.io/?EIO=4&transport=polling&t=PzbzKDQ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:26:46] "GET /socket.io/?EIO=4&transport=polling&t=PzbzLhC HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:26:52] "GET /socket.io/?EIO=4&transport=polling&t=PzbzN8v HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:26:58] "GET /socket.io/?EIO=4&transport=polling&t=PzbzOcg HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:27:04] "GET /socket.io/?EIO=4&transport=polling&t=PzbzQ4Q HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:27:10] "GET /socket.io/?EIO=4&transport=polling&t=PzbzRX_ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:27:16] "GET /socket.io/?EIO=4&transport=polling&t=PzbzS_s HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:27:22] "GET /socket.io/?EIO=4&transport=polling&t=PzbzUTY HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:27:28] "GET /socket.io/?EIO=4&transport=polling&t=PzbzVxL HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:27:34] "GET /socket.io/?EIO=4&transport=polling&t=PzbzXP7 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:27:40] "GET /socket.io/?EIO=4&transport=polling&t=PzbzYsp HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:27:46] "GET /socket.io/?EIO=4&transport=polling&t=PzbzaKW HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:27:52] "GET /socket.io/?EIO=4&transport=polling&t=PzbzboP HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:27:58] "GET /socket.io/?EIO=4&transport=polling&t=PzbzdG5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:28:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzbzejp HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:28:10] "GET /socket.io/?EIO=4&transport=polling&t=PzbzgBU HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:28:16] "GET /socket.io/?EIO=4&transport=polling&t=PzbzhfJ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:28:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzbzj77 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:28:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzbzkax HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:28:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzbzm2g HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:28:40] "GET /socket.io/?EIO=4&transport=polling&t=PzbznWC HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:28:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzbzozy HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:28:52] "GET /socket.io/?EIO=4&transport=polling&t=PzbzqRu HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:28:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzbzrva HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:29:04] "GET /socket.io/?EIO=4&transport=polling&t=PzbztNP HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:29:10] "GET /socket.io/?EIO=4&transport=polling&t=PzbzurA HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:29:16] "GET /socket.io/?EIO=4&transport=polling&t=PzbzwIs HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:29:22] "GET /socket.io/?EIO=4&transport=polling&t=PzbzxmU HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:29:28] "GET /socket.io/?EIO=4&transport=polling&t=PzbzzJW HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:29:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzbz-i0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:29:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-09o HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:29:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-1df HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:29:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-35Q HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:29:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-4Z3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:30:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-60u HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:30:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-7UY HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:30:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-8yF HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:30:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-AQA HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:30:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-Btu HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:30:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-DLV HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:30:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-EpD HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:30:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-GH5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:30:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-Hkm HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:30:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-JCf HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:31:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-KgI HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:31:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-M86 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:31:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-Nbl HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:31:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-P3c HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:31:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-QXB HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:31:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-R_9 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:31:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-TSx HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:31:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-UwZ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:31:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-WOL HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:31:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-XsA HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:32:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-ZJo HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:32:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-anW HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:32:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-cFI HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:32:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-dj8 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:32:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-fD8 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:32:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-geY HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:32:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-i6Q HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:32:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-ja9 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:32:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-l6j HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:32:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-mVf HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:33:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-nzC HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:33:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-pR9 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:33:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-qus HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:33:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-sMT HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:33:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-tqO HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:33:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-vI3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:33:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-wlp HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:33:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-yDh HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:33:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-zhO HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:33:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzb-_9A HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:34:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_0co HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:34:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_24U HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:34:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_3YN HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:34:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_4_- HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:34:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_6Tm HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:34:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_7xc HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:34:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_9PK HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:34:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_AtH HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:34:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_CKo HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:34:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_DoV HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:35:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_FGK HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:35:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_Gk9 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:35:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_IBs HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:35:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_Jgb HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:35:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_L7b HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:35:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_May HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:35:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_O56 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:35:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_PWv HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:35:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_Q-D HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:35:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_SS5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:36:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_Tvw HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:36:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_VNg HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:36:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_Ws9 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:36:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_YI- HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:36:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_Zmu HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:36:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_bEW HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:36:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_ciD HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:36:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_e9- HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:36:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_fdp HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:36:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_h5c HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:37:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_iZT HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:37:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_k15 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:37:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_lUk HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:37:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_myg HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:37:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_oQG HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:37:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_puA HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:37:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_rLx HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:37:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_spT HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:37:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_uHL HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:37:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_vl3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:38:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_xCr HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:38:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_ygc HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:38:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzb_-8Q HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:38:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzb__bz HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:38:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzc013t HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:38:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzc02XY HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:38:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzc03_T HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:38:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzc05T2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:38:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzc06wk HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:38:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzc08Oh HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:39:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzc09sQ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:39:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0BK5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:39:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0Cnp HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:39:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0EFW HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:39:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0FjN HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:39:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0HB8 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:39:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0Iem HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:39:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0K6S HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:39:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0LaF HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:39:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0N21 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:40:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0OVl HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:40:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0Pzh HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:40:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0RRL HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:40:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0SvA HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:40:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0UMk HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:40:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0VqY HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:40:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0XIG HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:40:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0Ylz HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:40:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0aDw HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:40:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0bhd HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:41:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0d9Q HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:41:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0ed0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:41:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0g4u HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:41:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0hYe HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:41:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0j0M HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:41:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0kU2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:41:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0lxh HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:41:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0nPV HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:41:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0otC HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:41:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0qL3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0roj HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0tGc HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0ulV HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0wC4 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:25] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:36] "GET /api/simulation/state HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:36] "GET /api/simulation/metrics HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:36] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0zhJ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:36] "GET /api/experiments/latest HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:37] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0z-1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0-eR HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:45] "GET /socket.io/?EIO=4&transport=polling&t=Pzc0_sm HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:50] "GET /socket.io/?EIO=4&transport=polling&t=Pzc1150 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:42:55] "GET /socket.io/?EIO=4&transport=polling&t=Pzc12JR HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:43:00] "GET /socket.io/?EIO=4&transport=polling&t=Pzc13Xx HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:43:06] "GET /socket.io/?EIO=4&transport=polling&t=Pzc14xf HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:43:12] "GET /socket.io/?EIO=4&transport=polling&t=Pzc16PJ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:43:18] "GET /socket.io/?EIO=4&transport=polling&t=Pzc17vw HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:43:24] "GET /socket.io/?EIO=4&transport=polling&t=Pzc19Kw HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:43:30] "GET /socket.io/?EIO=4&transport=polling&t=Pzc1AoX HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:43:36] "GET /socket.io/?EIO=4&transport=polling&t=Pzc1CGM HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:43:42] "GET /socket.io/?EIO=4&transport=polling&t=Pzc1DkE HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:43:48] "GET /socket.io/?EIO=4&transport=polling&t=Pzc1FBq HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:43:54] "GET /socket.io/?EIO=4&transport=polling&t=Pzc1Gfa HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:44:00] "GET /socket.io/?EIO=4&transport=polling&t=Pzc1I7P HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:44:06] "GET /socket.io/?EIO=4&transport=polling&t=Pzc1Jc2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 21:44:12] "GET /socket.io/?EIO=4&transport=polling&t=Pzc1L2u HTTP/1.1" 200 -
