WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://127.0.0.1:5001/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Jul/2026 20:46:42] "GET /socket.io/?EIO=4&transport=polling&t=PzbqAmb HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:46:47] "GET /socket.io/?EIO=4&transport=polling&t=PzbqB_1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:46:52] "GET /socket.io/?EIO=4&transport=polling&t=PzbqDDZ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:46:57] "GET /socket.io/?EIO=4&transport=polling&t=PzbqESY HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:47:03] "GET /socket.io/?EIO=4&transport=polling&t=PzbqFus HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:47:09] "GET /socket.io/?EIO=4&transport=polling&t=PzbqHMU HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:47:15] "GET /socket.io/?EIO=4&transport=polling&t=PzbqIqK HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:47:21] "GET /socket.io/?EIO=4&transport=polling&t=PzbqKHu HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:47:27] "GET /socket.io/?EIO=4&transport=polling&t=PzbqLlh HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:47:33] "GET /socket.io/?EIO=4&transport=polling&t=PzbqNDX HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:47:39] "GET /socket.io/?EIO=4&transport=polling&t=PzbqOhG HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:47:45] "GET /socket.io/?EIO=4&transport=polling&t=PzbqQ92 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:47:52] "GET /socket.io/?EIO=4&transport=polling&t=PzbqRxx HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:47:58] "GET /socket.io/?EIO=4&transport=polling&t=PzbqTK1 HTTP/1.1" 200 -
